x	y
458.740	542.567
454.402	542.497
450.173	542.443
446.055	542.404
442.051	542.383
438.163	542.380
434.391	542.397
430.740	542.435
427.210	542.495
423.804	542.578
420.524	542.686
417.371	542.819
414.349	542.979
411.457	543.167
408.690	543.382
406.037	543.622
403.491	543.885
401.042	544.169
398.681	544.474
396.399	544.797
394.187	545.137
392.035	545.492
389.936	545.861
387.879	546.240
385.856	546.630
383.858	547.029
381.874	547.435
379.885	547.852
377.871	548.283
375.814	548.733
373.695	549.206
371.492	549.705
369.188	550.234
366.762	550.797
364.195	551.398
361.468	552.040
358.561	552.728
355.454	553.466
352.128	554.256
348.564	555.104
344.752	556.010
340.706	556.971
336.448	557.981
331.999	559.036
327.377	560.130
322.604	561.259
317.701	562.416
312.687	563.596
307.583	564.796
302.409	566.009
297.185	567.230
291.933	568.455
286.672	569.677
281.423	570.892
276.207	572.095
271.042	573.281
265.951	574.444
260.953	575.579
256.069	576.682
251.319	577.746
246.723	578.768
242.302	579.741
238.076	580.660
234.066	581.521
230.292	582.318
226.775	583.046
223.525	583.702
220.525	584.287
217.751	584.806
215.178	585.260
212.783	585.654
210.542	585.991
208.430	586.273
206.424	586.504
204.500	586.687
202.633	586.826
200.800	586.924
198.976	586.983
197.138	587.007
195.270	587.000
193.364	586.965
191.416	586.906
189.417	586.827
187.361	586.732
185.242	586.623
183.053	586.506
180.788	586.383
178.440	586.258
176.002	586.136
173.467	586.020
170.833	585.912
168.108	585.808
165.311	585.700
162.458	585.579
159.567	585.438
156.655	585.268
153.739	585.062
150.836	584.811
147.963	584.507
145.138	584.142
142.378	583.708
139.699	583.198
137.120	582.602
134.657	581.914
132.327	581.124
130.145	580.226
128.111	579.223
126.216	578.120
124.454	576.924
122.817	575.639
121.298	574.272
119.891	572.828
118.588	571.313
117.381	569.733
116.264	568.094
115.230	566.401
114.271	564.660
113.388	562.872
112.580	561.034
111.850	559.145
111.200	557.204
110.630	555.209
110.142	553.159
109.738	551.051
109.419	548.885
109.187	546.658
109.043	544.370
108.988	542.018
109.024	539.606
109.152	537.139
109.372	534.625
109.684	532.071
110.090	529.484
110.590	526.871
111.185	524.239
111.875	521.595
112.661	518.947
113.545	516.302
114.525	513.666
115.604	511.046
116.782	508.450
118.060	505.886
119.435	503.359
120.902	500.878
122.450	498.450
124.072	496.083
125.757	493.784
127.498	491.562
129.285	489.424
131.108	487.378
132.960	485.430
134.831	483.590
136.713	481.864
138.596	480.260
140.471	478.787
142.330	477.451
144.164	476.259
145.975	475.211
147.776	474.298
149.574	473.514
151.382	472.851
153.208	472.302
155.064	471.859
156.960	471.514
158.906	471.261
160.913	471.093
162.991	471.000
165.147	470.977
167.382	471.017
169.691	471.113
172.070	471.258
174.517	471.447
177.028	471.671
179.600	471.926
182.228	472.204
184.910	472.500
187.642	472.805
190.420	473.115
193.242	473.421
196.103	473.718
199.000	474.000
289.000	493.000
825.500	489.500

